軍職專長,專長代碼,民間工作任務用語,職業類別,職業名稱,職業代碼,轉銜理由,必須證照,建議證照
,,,03人資/法務/智財,教育訓練人員,030104,具備課程規劃設計及訓練成效評估等實務經驗，熟悉訓練需求分析、教案設計流程與訓練回饋機制，適合擔任教育訓練人員，從事企業人才培育工作。,,
,,,21行銷/企劃/專案,行銷企劃人員,210103,具備任務規劃、資源整合及情境判斷應變等實務經驗，熟悉活動設計與溝通協作，適合擔任行銷企劃人員，從事行銷策略規劃與專案執行工作。,,建議取得經濟部「品牌企劃師能力鑑定證書」
,,,16旅遊/餐飲/休閒,導遊,160102,具備職務養成之專案規劃、團隊溝通與突發狀況應變處置能力，適合擔任導遊，從事旅遊導覽、旅客接待與行程解說工作。,應取得交通部觀光署核發之「導遊人員執業證」,
,,,16旅遊/餐飲/休閒,領隊,160103,具備職務養成之專案規劃、團隊溝通與突發狀況應變處置能力，適合擔任領隊，從事旅遊導覽、旅客接待與行程解說工作。,應取得交通部觀光署核發之「領隊人員執業證」,
,,,03人資/法務/智財,幹事,010104,具備行政管理、活動規劃及跨單位協調等實務經驗，熟悉章程研擬與總務管理，適合擔任法人團體幹事，從事活動規劃與會務推展工作。,,
兩棲部隊指揮官,DD01,"1.跨場域營運管理
  1.1管理多場域（陸地／水域）作業整合。
  1.2規劃複合型環境作業流程。
  1.3提升整體運作協同效率。
2.組織運作與資源配置
  2.1管理人力、設備與資訊資源。
  2.2維持組織穩定運作。
  2.3優化整體營運效率。
3.計畫執行與流程控管
  3.1規劃並推動作業執行計畫。
  3.2監控執行進度與品質。
  3.3確保整體執行一致性。",01經營/行政/總務,行政總務主管,010301,具備單位行政統籌、資源調配等相關實務經驗，熟悉內部管控制度與標準作業程序，適合擔任行政總務主管，從事組織行政管理、總務支援等工作。,,
,,,21行銷/企劃/專案,專案管理師,210304,具備任務規劃、跨部門協調與資源整合等相關實務，熟悉專案流程、任務分工與風險管控，適合擔任專案管理師，從事專案策劃及進度管控等工作。,,建議取得「國際專案管理師（PMP）認證」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,21行銷/企劃/專案,企業永續發展人員,210305,具備政策制定、資料分析與協調整合能力，熟悉制度建置、績效管理與法規遵循，適合擔任企業永續發展人員，從事企業永續策略規劃、碳盤查與社會責任推動等工作。,,建議取得經濟部「淨零碳規劃管理師」能力鑑定
,,,03人資/法務/智財,教育訓練人員,030104,具備課程規劃設計及訓練成效評估等實務經驗，熟悉訓練需求分析、教案設計流程與訓練回饋機制，適合擔任教育訓練人員，從事企業人才培育工作。,,
,,,21行銷/企劃/專案,行銷企劃人員,210103,具備任務規劃、資源整合及情境判斷應變等實務經驗，熟悉活動設計與溝通協作，適合擔任行銷企劃人員，從事行銷策略規劃與專案執行工作。,,建議取得經濟部「品牌企劃師能力鑑定證書」
,,,16旅遊/餐飲/休閒,導遊,160102,具備職務養成之專案規劃、團隊溝通與突發狀況應變處置能力，適合擔任導遊，從事旅遊導覽、旅客接待與行程解說工作。,應取得交通部觀光署核發之「導遊人員執業證」,
,,,16旅遊/餐飲/休閒,領隊,160103,具備職務養成之專案規劃、團隊溝通與突發狀況應變處置能力，適合擔任領隊，從事旅遊導覽、旅客接待與行程解說工作。,應取得交通部觀光署核發之「領隊人員執業證」,
,,,03人資/法務/智財,幹事,010104,具備行政管理、活動規劃及跨單位協調等實務經驗，熟悉章程研擬與總務管理，適合擔任法人團體幹事，從事活動規劃與會務推展工作。,,
水中爆破指揮官,DD41,"1.水下工程與障礙處理
  1.1規劃水下障礙排除與環境整治。
  1.2管理航道或水域通行條件。
  1.3提升水域作業效率與安全性。
2.技術整合與作業執行
  2.1整合設備與技術執行水下作業。
  2.2規劃作業流程與操作方式。
  2.3提升整體作業效能。
3.安全控管與跨單位協調
  3.1建立高風險作業安全機制。
  3.2協調多單位共同執行作業。
  3.3確保作業穩定與人員安全。",01經營/行政/總務,經營管理主管,010101,具備團隊領導、策略規劃與整體效能提升等相關實務，熟悉組織運作、決策流程與績效管理，適合擔任經營管理主管，從事營運規劃、資源整合與團隊領導等工作。,,
,,,16旅遊/餐飲/休閒,運動教練,160301,具備潛水專業與訓練規劃經驗，適合擔任潛水運動教練，從事休閒潛水教學、專業救援與潛水安全訓練等工作,應取得運動部核發「水上救生員證書」及「國際潛水教練證照」,
,,,通俗職業未收錄依UCAN對應,商業潛水員,,具備深潛與水肺潛水專業，適合擔任商業潛水員，從事海洋建設、沉船打撈、管線維修與水下探勘等工作。,應取得勞動部「職業潛水」技術士證,
,,,通俗職業未收錄依UCAN對應,水下遙控無人載具作業主管,,具備水下監控與目標指示經驗，適合擔任至ROV作業主管，從事水下機器人的任務規劃、操作與維護。,,建議參加海洋委員會國家海洋研究院「水下遙控載具機師培訓課」
,,,通俗職業未收錄依UCAN對應,水文技術人員,,具備水域作業規劃、現場指揮調度及高風險環境判斷等實務經驗，熟悉水文作業流程，適合擔任水文技術人員，從事潮流測量、海底地形繪製與水質監測等工作。,,建議參加海洋委員會國家海洋研究院「水下噪音監測員培訓課」或「被動聲學監測員培訓課」
,,,通俗職業未收錄依UCAN對應,離岸作業水下支撐結構檢測人員,,具備水下作業規劃、結構檢測判讀及高風險環境作業實務經驗，熟悉水下檢測技術與設備操作流程，適合離岸作業水下支撐結構檢測人員，從事離岸風電、油氣平台檢測維護。,,建議參加勞動部離岸風電設備巡檢人才培訓班，並取得國際海事組織認可之BST基本安全訓練證照
航海領導士,AE115,"1.航行監測與操作支援
  1.1協助監控航行狀態與操作流程。
  1.2支援現場指令傳達與執行。
  1.3確保航行作業順暢。
2.設備與資料管理
  2.1管理導航設備與相關系統。
  2.2維護圖資更新與正確性。
  2.3確保設備穩定運作。
3.通訊與規範執行
  3.1支援通訊與信號作業。
  3.2配合相關作業標準與規範。
  3.3維持整體運作一致性。",15物流/運輸/資材,船員,150210,具備航行監控作業、設備操作維護及通訊協調等實務經驗，熟悉航行作業流程、航儀設備運作與安全規範，適合擔任船員，從事船舶航行支援與操作工作。,應取得交通部航港局核發之船員適任證照,
,,,15物流/運輸/資材,運輸交通專業人員,150101,具備航程規劃、航海儀器管理與航行紀錄整理經驗，適合擔任至運輸交通專業人員，從事交通運輸規劃與航運協調。,應取得交通部航港局核發之「船員適任證照」或「港勤引水人員適任證書」,
,,,15物流/運輸/資材,營運調度人員,150211,具備運輸調度規劃、作業流程管控及跨單位協調等實務經驗，熟悉調度作業機制、營運管理流程與異常應變處置，適合擔任營運調度人員，從事運輸調度規劃與營運管理工作。,,
,,,06客服/門市,連鎖店管理人員,060205,具備軍中差勤管理、物料補給及設施環境維護等實務經驗，熟悉人員調度與突發狀況處理，適合轉銜為連鎖店管理人員，從事連鎖體系門市營運管理、人員督導與日常營運協調等工作。,,建議取得勞動部核發之「門市服務技術士證」等相關證照
,,,01經營/行政/總務,行政總務人員,010302,具備作業流程執行、設備管理維護及跨單位協調等實務經驗，熟悉行政作業流程與資產管理機制，適合擔任行政總務人員，從事行政支援與總務管理工作。,,
帆纜領導士,AE215,"1.設備維護與現場管理
  1.1管理船舶外部設備與設施維護。
  1.2確保設備穩定與安全運作。
  1.3提升整體維運品質。
2.作業設備操作與管理
  2.1操作並管理各類機具與繩索系統。
  2.2維持設備使用效率與可靠性。
  2.3強化設備管理制度。
3.海上作業支援與協調
  3.1協調繫泊、靠泊與相關作業。
  3.2支援各類現場作業流程。
  3.3確保整體作業順暢進行。",15物流/運輸/資材,船員,150210,具備甲板作業管理、設備操作維護及海上作業支援等實務經驗，熟悉船舶作業流程、設備運作機制與安全規範，適合擔任船員，從事船舶作業與航行支援工作。,應取得交通部航港局核發之船員適任證書,
,,,15物流/運輸/資材,運輸交通專業人員,150101,具備甲板作業管理、海上作業支援及跨單位協調等實務經驗，熟悉運輸作業流程、設備運作機制與安全規範，適合擔任運輸交通專業人員，從事交通運輸規劃與航運協調等工作。,應取得交通部航港局核發之「船員適任證書」或「港勤引水人員適任證書」,
,,,10技術/維修/操作,其他機械操作員,100390,具備繩纜吊掛、固定與搬運操作能力，熟悉甲板設備作業流程，適合擔任其他機械操作員，從事船上設備操作與維護等工作，從事船舶設備操作與維護等工作。,應取得勞動部「固定式起重機操作（架空式-機上操作）單一級」技術士證照,
,,,09品管/製造/環衛,職業安全衛生人員,090301,具備高風險作業管控及設備操作實務經驗，熟悉作業安全規範、風險評估機制，適合擔任職業安全衛生人員，從事職業安全管理相關工作。,應取得勞動部「職業安全衛生管理乙級技術士證」,
,,,09品管/製造/環衛,廠務,090220,具備任務規劃、設備維護管理及跨單位協調等實務經驗，熟悉作業流程、設備運作機制與緊急應變處置，適合擔任廠務，從事廠務運作管理與設備維護工作。,,
,,,06客服/門市,連鎖店管理人員,060205,具備職務所需差勤管理、物料補給及設施環境維護等實務經驗，熟悉人員調度與物品清點，適合轉銜為連鎖店管理人員，從事連鎖體系門市營運管理、人員督導與日常營運協調等工作。,,建議取得勞動部核發之「門市服務技術士證」等相關證照
電子作戰領導士,AE315,"1.電子系統設備操作與維護
  1.1操作與維護電子監測／分析設備，確保系統正常運行。
  1.2執行設備檢修、校正與效能調整，降低故障風險。
2.技術資料蒐集與分析報告
  2.1蒐集系統運作與訊號資料，進行分析與比對。
  2.2彙整分析結果，撰寫技術報告與作業紀錄。
3.專業團隊管理與技術培訓
  3.1管理所屬技術人員之工作分配與執行狀況。
  3.2規劃並實施專業訓練，提升團隊技術能力。",10技術/維修/操作,精密儀器製造工及修理人員,100203,具備設備操作維修、故障診斷分析與調整校正等相關實務經驗，熟悉設備保養制度與檢修流程，適合擔任精密儀器製造工及修理工，從事精密設備組裝、故障檢修與性能測試等工作。,,建議取得勞動部「工業電子」或「儀表電子」技術士等相關證照
,,,10技術/維修/操作,通訊產品維修人員,100210,具備設備操作維修、故障診斷分析與調整校正等相關實務經驗，熟悉設備保養制度與檢修流程，適合擔任通訊產品維修人員，從事通訊設備維修、系統測試與客戶端技術支援等工作。,,建議取得勞動部「電器修護技術士證」等相關證照
,,,10技術/維修/操作,電子設備裝修技術員,100208,具備設備操作維修、故障診斷分析與調整校正等相關實務經驗，熟悉設備保養制度與檢修流程，適合擔任電子設備裝修技術員，從事電子設備維修、系統安裝與故障排除等工作。,,建議取得勞動部「工業電子」或「儀表電子」技術士等相關證照
,,,09品管/製造/環衛,測試校正人員,090104,具備設備測試校正、系統操作維護及資料分析等實務經驗，熟悉測試作業流程、設備校正機制與品質管控規範，適合擔任測試校正人員，從事設備測試與校正管理工作。,,
信號領導士,AE415,"1.通信訊息傳遞管理
  1.1管理多元訊息傳遞方式與流程。
  1.2確保資訊準確性與即時性。
  1.3提升整體溝通效率。
2.設備與資料管理
  2.1管理通信設備與資料資源。
  2.2執行設備維護與管理作業。
  2.3確保設備穩定運作。
3.訓練與標準化流程管理
  3.1規劃訊息傳遞訓練內容。
  3.2建立標準作業流程。
  3.3提升作業一致性與熟練度。",15物流/運輸/資材,船員,150210,具備通信作業執行、設備管理維護及訊號傳遞協調等實務經驗，熟悉航行作業與通信機制，適合擔任船員，從事船舶航行支援與通信作業工作。,應取得交通部航港局核發之船員適任證書,
,,,15物流/運輸/資材,運輸交通專業人員,150101,具備通信作業執行、設備管理維護及訊號傳遞協調等實務經驗，熟悉運輸作業流程、通信運作機制與安全規範，適合擔任運輸交通專業人員，從事運輸交通相關作業與營運支援工作。,應取得交通部航港局核發之船員適任證書,
,,,01經營/行政/總務,行政總務人員,010301,具備作業流程執行、設備管理維護及跨單位協調等實務經驗，熟悉行政作業流程、資產管理機制與安全規範，適合擔任行政總務人員，從事行政支援與總務管理工作。,,
,,,06客服/門市,連鎖店管理人員,060205,具備軍中差勤管理、物料補給及設施環境維護等實務經驗，熟悉人員調度與突發狀況處理，適合轉銜為連鎖店管理人員，從事連鎖體系門市營運管理、人員督導與日常營運協調等工作。,,建議取得勞動部核發之「門市服務技術士證」等相關證照
射控系統領導士,AE515,"1.精密系統操作與維運管理
  1.1操作並維護高精密控制系統。
  1.2確保系統穩定與長期運作。
  1.3提升設備運作效率與可靠性。
2.測試與校正作業管理
  2.1執行系統性能測試與檢測。
  2.2進行設備校正與精度調整。
  2.3確保系統輸出準確性。
3.異常處理與系統維修
  3.1診斷系統異常狀況。
  3.2執行故障排除與修復。
  3.3維持設備持續可用性。",15物流/運輸/資材,船員,150210,具備設備操作維護、系統測試校正及故障排除等實務經驗，熟悉船舶作業流程、設備運作機制與安全規範，適合擔任船員，從事船舶設備操作與航行支援工作。,應取得交通部航港局核發之船員適任證照,
,,,07工程/研發/生技,機電整合工程師,070218,具備系統整合運作、設備測試校正及故障排除等實務經驗，熟悉機電整合原理、系統控制機制與設備維護流程，適合擔任機電整合工程師，從事機電系統設計與整合應用工作。,,建議取得勞動部「機電整合」技術士證
,,,10技術/維修/操作,電子設備裝修技術員,100208,具備電子設備操作維護、系統測試校正及故障排除等實務經驗，熟悉電子系統運作原理與設備維修流程，適合擔任電子設備裝修技術員，從事電子設備維修與保養工作。,,建議取得勞動部「工業電子」或「儀表電子」技術士等相關證照
,,,09品管/製造/環衛,測試校正人員,090104,具備設備測試校正、系統操作維護及資料分析等實務經驗，熟悉測試作業流程、設備校正機制與品質管控規範，適合擔任測試校正人員，從事設備測試與校正管理工作。,,
,,,06客服/門市,連鎖店管理人員,060205,具備軍中差勤管理、物料補給及設施環境維護等實務經驗，熟悉人員調度與突發狀況處理，適合轉銜為連鎖店管理人員，從事連鎖體系門市營運管理、人員督導與日常營運協調等工作。,,建議取得勞動部核發之「門市服務技術士證」等相關證照
聲納領導士,AE616,"1.精密感測系統操作與維護
  1.1操作高精密水下／聲學感測設備，執行目標搜尋與訊號接收作業。
  1.2依標準程序進行設備校正、參數調整與日常保養。
2.訊號判讀與系統狀態分析
  2.1分析感測回傳訊號，判讀目標特性、距離與運動趨勢。
  2.2辨識環境噪訊與異常訊號，降低誤判風險。
3.作業支援與技術紀錄管理
  3.1記錄設備操作狀況、測試結果與異常事件。
  3.2協助作業流程優化與技術參數調整建議。",通俗職業未收錄依UCAN對應,水下遙控無人載具作業主管,,具備聲波探測、水下目標定位及聲納訊號判讀，適合擔任水下遙控無人載具技術工程師，可參加海洋委員會國家海洋研究院「水下遙控載具機師培訓課」，從事水下遙控載具任務規劃、操作與維護工作。,,
,,,通俗職業未收錄依UCAN對應,水文技術人員,,具備海洋與水中聲學基礎，並能運用監測數據進行分析，適合擔任水文技術人員，可參加海洋委員會國家海洋研究院「水下噪音監測員培訓課」或「被動聲學監測員培訓課」，從事潮流測量、海底地形繪製與水質監測等工作。,,
,,,07工程/研發/生技,聲學／噪音工程師,070205,具備水中聲學原理與聲納運用，適合擔任至聲學／噪音工程師，從事水下聲波監測、噪音分析及聲源定位工作。,,
,,,08資訊/軟體/系統,系統操作人員,080303,具備電子設備操作、數據回報、異常處置實務經驗，適合擔任系統操作人員，從事資料監控、系統維護與操作異常排除等工作。,,建議取得勞動部「電腦硬體裝修或工業電子技術士證」等相關證照
,,,通俗職業未收錄依UCAN對應,離岸作業水下支撐結構檢測人員,,具備水下探測與裝備維護實務經驗，適合擔任至離岸作業水下支撐結構檢測人員，從事離岸風電、海洋石油平台、水下管線與結構檢測等工作。,,建議參加勞動部離岸風電設備巡檢人才培訓班，並取得國際海事組織認可之BST基本安全訓練證照
砲械領導士,AE715,"1.重型設備維護與保修
  1.1執行重型設備之定期保養、檢修與零組件更換作業。
  1.2依設備規範進行機械結構與系統狀態檢查，確保可用度。
2.系統檢測與安全確認
  2.1操作量測與測試儀器，執行設備功能與安全性檢查。
  2.2依作業標準進行測試程序，降低操作與運轉風險。
3.技術文件與人員訓練支援
  3.1依技術手冊與流程文件執行維修與檢測作業。
  3.2協助整理設備保養、檢修與測試紀錄。",15物流/運輸/資材,船員,150210,具備設備操作維護、系統測試校正及故障排除等實務經驗，熟悉船舶作業流程、設備運作機制與安全規範，適合擔任船員從事船舶設備操作與航行支援工作。,應取得交通部航港局核發之船員適任證照，,
,,,07工程/研發/生技,機電整合工程師,070218,具備系統整合運作、設備測試校正及故障排除等實務經驗，熟悉機電整合原理、系統控制機制與設備維護流程，適合擔任機電整合工程師，從事機電系統設計與整合應用工作。,,建議取得勞動部「機電整合」技術士證
,,,10技術/維修/操作,其他機械操作員,100390,具備機械設備操作、維護檢修及測試校正等實務經驗，熟悉機台運作原理、設備維護流程與品質管控機制，適合擔任其他機械操作員，從事各類機械設備操作、安裝與維修工作。,,
,,,09品管/製造/環衛,測試校正人員,090104,具備設備測試校正、系統操作維護及資料分析等實務經驗，熟悉測試作業流程、設備校正機制與品質管控規範，適合擔任測試校正人員，從事設備測試與校正管理工作。,,
,,,06客服/門市,連鎖店管理人員,060205,具備軍中差勤管理、物料補給及設施環境維護等實務經驗，熟悉人員調度與突發狀況處理，適合轉銜為連鎖店管理人員，從事連鎖體系門市營運管理、人員督導與日常營運協調等工作。,,建議取得勞動部核發之「門市服務技術士證」等相關證照
反潛火箭領導士,AE815,"1.機電整合系統操作與維護
  1.1操作具機械、電控與動力系統之複合型設備。
  1.2執行設備日常保養、檢修與基礎修復作業。
2.系統檢測與功能驗證
  2.1使用量測儀表與測試設備進行系統狀態檢查。
  2.2依標準流程判讀信號、壓力與動作回饋數據。
3.技術紀錄與維修支援
  3.1依操作手冊與技術文件執行維修與檢查作業。
  3.2協助記錄設備狀況、檢修結果與測試數據。",15物流/運輸/資材,船員,150210,具備設備操作維護、系統測試校正及故障排除等實務經驗，熟悉船舶作業流程、設備運作機制與安全規範，適合擔任船員，從事船舶設備操作與航行支援工作。,應取得交通部航港局核發之船員適任證照,
,,,07工程/研發/生技,機電整合工程師,070218,具備系統整合運作、設備測試校正及故障排除等實務經驗，熟悉機電整合原理、系統控制機制與設備維護流程，適合擔任機電整合工程師，從事機電系統設計與整合應用工作。,,建議取得勞動部「機電整合」技術士證
,,,10技術/維修/操作,電子設備裝修技術員,100208,具備電子設備操作維護、系統測試校正及故障排除等實務經驗，熟悉電子系統運作原理與設備維修流程，適合擔任電子設備裝修技術員，從事電子設備維修與保養工作。,,建議取得勞動部「工業電子」或「儀表電子」技術士等相關證照
,,,10技術/維修/操作,其他機械操作員,100390,具備機械設備操作、維護檢修及測試校正等實務經驗，熟悉機台運作原理、設備維護流程與品質管控機制，適合擔任其他機械操作員，從事各類機械設備操作、安裝與維修工作。,,
,,,09品管/製造/環衛,測試校正人員,090104,具備設備測試校正、系統操作維護及資料分析等實務經驗，熟悉測試作業流程、設備校正機制與品質管控規範，適合擔任測試校正人員，從事設備測試與校正管理工作。,,
,,,06客服/門市,連鎖店管理人員,060205,具備軍中差勤管理、物料補給及設施環境維護等實務經驗，熟悉人員調度與突發狀況處理，適合轉銜為連鎖店管理人員，從事連鎖體系門市營運管理、人員督導與日常營運協調等工作。,,建議取得勞動部核發之「門市服務技術士證」等相關證照
魚雷領導士,AE915,"1.精密設備維護與測試
  1.1執行高精密設備之檢查、保養、功能測試與基礎修復。
  1.2依標準作業流程（SOP）完成設備發射前與運作前檢測。
2.系統操作與異常排除
  2.1操作整合式控制與推送系統，支援設備啟動與運作流程。
  2.2使用量測工具進行電路與系統狀態判讀。
3.安全管控與技術文件支援
  3.1依安全規範執行高風險設備之裝配、調校與操作。
  3.2管理設備存放、運輸與測試器材之使用與保修紀錄。",10技術/維修/操作,其他機械操作員,100390,具備精密設備操作與檢修實務經驗，適合擔任其他機械操作員，從事設軍民用裝備吊掛、運補作業與精密設備安裝等相關工作。,應取得勞動部「固定式起重機操作（架空式-機上操作）單一級」技術士證照,
,,,10技術/維修/操作,銲接、切割工,100123,具備具備精密設備操作與檢修實務經驗，適合擔任銲接、切割工，從事船舶修造、鋼構工程或能源產業等工作。,,建議取得勞動部「氬氣鎢極電銲電銲單一級技術士證」
,,,通俗職業未收錄依UCAN對應,水下遙控無人載具技術工程師,,具備電工基礎、精密儀器維護與海上作業經驗，適合擔任水下遙控無人載具技術工程師，從事水下機器人的任務規劃、操作與維護工作。,,建議參加海洋委員會國家海洋研究院「水下遙控載具機師培訓課」
,,,09品管/製造/環衛,職業安全衛生人員,090301,具備高風險作業管控及設備操作實務經驗，熟悉作業安全規範、風險評估機制，適合擔任職業安全衛生人員，從事職業安全管理相關工作。,應取得勞動部「職業安全衛生管理乙級技術士證」,
,,,09品管/製造/環衛,廠務,090220,具備任務規劃、設備維護管理及跨單位協調等實務經驗，熟悉作業流程、設備運作機制與緊急應變處置，適合擔任廠務，從事廠務運作管理與設備維護工作。,,
,,,09品管/製造/環衛,測試校正人員,090104,具備設備測試校正、系統操作維護及資料分析等實務經驗，熟悉測試作業流程、設備校正機制與品質管控規範，適合擔任測試校正人員，從事設備測試與校正管理工作。,,
,,,06客服/門市,連鎖店管理人員,060205,具備軍中差勤管理、物料補給及設施環境維護等實務經驗，熟悉人員調度與突發狀況處理，適合轉銜為連鎖店管理人員，從事連鎖體系門市營運管理、人員督導與日常營運協調等工作。,,建議取得勞動部核發之「門市服務技術士證」等相關證照
陸戰隊野砲目標觀測領導士,AF335,"1.現場資訊蒐集與整合
  1.1蒐集來自現場觀測、地形與目標的多元資訊，並進行初步整理與比對。
  1.2將零散資訊轉化為可供決策參考的結構化資料與重點摘要。
2.分析判斷與精準修正
  2.1依據觀測結果進行偏差分析，找出誤差來源與修正方向。
  2.2提出具體修正建議，確保後續行動能朝向預期目標收斂。
3.工具操作與作業支援
  3.1操作與維護各類觀測與分析工具，確保設備在關鍵時刻可用。
  3.2於高壓、即時環境下支援團隊運作，必要時可代理關鍵角色持續任務。",11營建/製圖/施作,量測／儀校人員,110320,具備現場測量、數據判讀及設備操作維護等實務經驗，熟悉測量作業流程，適合擔任量測／儀校人員，從事測量與儀器校正工作。,應取得勞動部「測量」技術士證,
,,,09品管/製造/環衛,測試校正人員,090104,具備測量數據判讀、設備操作維護及校正調整等實務經驗，熟悉測試作業流程、儀器校正機制與品質管控規範，適合擔任測試校正人員，從事設備測試與校正管理工作。,,
,,,10技術/維修/操作,遙控無人機專業人員,100316,具備目標觀測判讀、設備操作控制及現場判斷應變等實務經驗，熟悉操作流程與安全規範，適合擔任遙控無人機專業人員，從事無人機操作執行商用、空拍、監測、研究、農藥噴灑等相關工作。,應取得交通部民用航空局核發之「遙控無人機操作證」等相關證照,
,,,20農林漁牧相關,森林防護人員,200203,具備野外環境識別判斷、巡查監控及現場應變處置等實務經驗，熟悉風險辨識評估與事件處理回報，適合擔任森林防護人員，從事森林巡護與環境安全管理工作。,,
,,,06客服/門市,連鎖店管理人員,060205,具備軍中差勤管理、物料補給及設施環境維護等實務經驗，熟悉人員調度與突發狀況處理，適合轉銜為連鎖店管理人員，從事連鎖體系門市營運管理、人員督導與日常營運協調等工作。,,建議取得勞動部核發之「門市服務技術士證」
陸戰隊登陸戰車領導士,AF435,"1.特種車輛操作與維運
  1.1操作重型／特殊用途履帶車輛。
  1.2執行車輛日常保養與維護。
  1.3確保車輛穩定運作與安全性。
2.運輸與物流調度管理
  2.1執行人員與物資運輸作業。
  2.2協調運輸流程與載運安排。
  2.3提升運輸效率與安全性。
3.設備防護與維護處理  3.1執行設備清潔與防護處理。
  3.2管理特殊環境下設備維護流程。
  3.3確保裝備持續可用性。",通俗職業未收錄依UCAN對應,物料搬運機械及車輛操作人員的第一線主管,,具備駕駛重型機具實務經驗，熟悉現場調度指揮與作業安全規範，適合擔任物料搬運機械及車輛操作人員的第一線主管，從事搬運設備操作、人員調度與作業安全維護等工作。,,建議取得勞動部「堆高機」、「挖土機」或「推土機」操作單一技術證
,,,10技術/維修/操作,自動化機械加工技術人員,100106,具備重型機具保養檢查及故障排除能力，熟悉機械結構與電控系統工作原理，適合擔任自動化機械技術人員，從事自動化機械之操作、製程機具維護與設備異常排除等工作。,,建議取得勞動部「機械加工」技術士證
,,,10技術/維修/操作,農業及工業用機器裝修人員,100204,具備重型機具保養檢查及故障排除能力，熟悉檢查、維護與故障排除流程，適合擔任農業及工業用機器裝修人員，從事工業用機械設備、零組件及引擎之安裝、檢查、維修與性能測試等工作。,應取得勞動部「重機械修護技術士」,
,,,15物流/運輸/資材,運輸交通專業人員,150101,因職務歷練，具備指揮調度及軍品裝卸運輸實務經驗，熟悉運輸流程規劃與車隊管理，適合擔任運輸交通專業人員。從事交通運輸、物流配送等工作，負責運輸規劃、車隊管理與效率管控等任務。,,
,,,15物流/運輸/資材,倉儲物流人員,150107,因職務歷練，具備指揮調度及軍品清點、裝卸及運輸實務經驗，熟悉物料管理流程與現場作業規範，適合擔任倉儲物流人員，從事理貨、包裝、進出貨、庫存盤點與補貨等物流管理作業。,,建議取得勞動部「堆高機操作單一技術士證」
,,,09品管/製造/環衛,廠務,090220,因於部隊長期接觸裝備保養、環境巡查、財產清點等實務工作，並具備遵守安全作業規定與設備控管能力，適合轉銜廠務，協助從事設施維護、環境管理等工作。,,
,,,06客服/門市,連鎖店管理人員,060205,具備軍中差勤管理、物料補給及設施環境維護等實務經驗，熟悉人員調度、流程管控及突發狀況處理，適合轉銜為連鎖店管理人員，從事連鎖體系門市營運管理、人員督導與日常營運協調等工作。,,建議取得勞動部核發之「門市服務技術士證」
灘岸勤務領導士,DD315,"1.岸際作業與運輸管制
  1.1管理岸際與水域交界之運輸動線。
  1.2協調載具進出與作業順序。
  1.3提升整體運輸效率與安全性。
2.水域救援與障礙排除
  2.1執行水域救援與支援作業。
  2.2處理擱淺或故障設備。
  2.3維持作業環境順暢。
3.臨時設施建置與支援
  3.1建置臨時碼頭與作業設施。
  3.2支援人員與物資上下作業。
  3.3確保現場作業順利進行。",11營建/製圖/施作,工地監工人員,100205,具備灘岸施工指揮經驗，熟悉人員調度、裝備操作及現場安全維護，適合擔任營建工程監工人員，從事現場調度、施工協調與進度管理。,應取得內政部國土管理署「營造業工地主任執業證」,
,,,通俗職業未收錄依UCAN對應,物料搬運機械及車輛操作人員的第一線主管,,具備駕駛重型機具實務經驗，熟悉現場調度指揮與作業安全規範，適合擔任物料搬運機械及車輛操作人員的第一線主管，從事搬運設備操作、人員調度與作業安全維護等工作。,,建議取得勞動部「堆高機」、「挖土機」或「推土機」操作單一技術證
,,,11營建/製圖/施作,推土機、怪手操作員,110305,具備灘岸施工指揮經驗，熟悉重型機具操作及保養檢查要領，適合擔任推土機、挖掘機操作員，操作大型機具從事土木施工、灘岸整地相關工作。,應取得勞動部「重機械操作－推土機或挖掘機操作技術士證」,
,,,15物流/運輸/資材,大貨車司機,150102,具備車輛駕駛、物資運補及現場調度支援等實務經驗，熟悉車輛駕駛與道路安全規範，適合擔任大貨車司機，從事貨物運輸與物流配送工作。。,應取得交通部公路局職業大型車駕駛執照,
,,,15物流/運輸/資材,倉儲物流人員,150107,具備物資調度管理、現場作業指揮實務經驗，熟悉倉儲作業流程與物流管理規範，適合擔任倉儲物流人員，從事倉儲管理與物流配送作業。,,建議取得勞動部「堆高機操作」單一技術士證
,,,09品管/製造/環衛,廠務,090220,因於部隊長期接觸裝備保養、環境巡查、財產清點等實務工作，並具備遵守安全作業規定與設備控管能力，適合轉銜廠務，協助從事設施維護、環境管理等工作。,,
,,,06客服/門市,連鎖店管理人員,060205,具備軍中差勤管理、物料補給及設施環境維護等實務經驗，熟悉人員調度、流程管控及突發狀況處理，適合轉銜為連鎖店管理人員，從事連鎖體系門市營運管理、人員督導與日常營運協調等工作。,,建議取得勞動部核發之「門市服務技術士證」
